sale_id,表示順,日付,時刻,色,フェーズ名,フェーズ背景色,フェーズ文字色,見出し,詳細,終了表記
2026-06-ss,1,5/31(日),10:00〜,#E08030,告知期間スタート,#FFF0E0,#B86000,スーパーSALE 告知開始,SNS・各チャネルで開幕予告を投稿するタイミング,〜 6/4(木) 19:59 まで
2026-06-ss,2,6/1(月),10:00〜,#E60026,先行SALE,#FFF0F5,#BF0000,先行セール開始,チェーンスペシャルオファー（全会員）最大<strong>33%OFF</strong> 開始,〜 6/4(木) 19:59 まで
2026-06-ss,3,6/4(木),20:00〜,#BF0000,🎉 本SALE 開幕,#FFF5F5,#BF0000,スーパーSALE 本番スタート！,"毎日最大<strong>30%OFF</strong> ／ テーマパーク提携ホテル最大23%OFF
ポイントバックキャンペーン エントリー受付開始",〜 6/20(土) 23:59 まで
2026-06-ss,4,5と0の日,各72時間,#5BC8CC,5と0のつく日 特別開催,#E8F8F8,#2A9AA0,72時間 × 4回 開催,,
2026-06-ss,5,6/20(土),23:59 終了,#999,最終日,#F0F0F0,#666,スーパーSALE 終了,ラストコール投稿を忘れずに,
